X,Y,KKOD,TEXT,TEXTTYP
2059408.40905353,8515202.23068083,51,Högkallaren,O
2049649.19413797,8506127.46462654,1,Malmen,O
2048532.81058667,8503404.68661123,1,Fräknaruddu,O
2050104.82493609,8505310.11024828,3,Norrboda,O
2050392.31898922,8502979.88786008,1,Träsket,O
2051960.67243591,8503354.35683621,182,Skrevträsket,O
2052222.49352312,8506584.73529856,2,Långanäs,O
2051321.2863707,8504980.39663506,182,Furdalsträsket,O
2053156.69587103,8506057.06294473,51,Kattan,O
2052777.38655248,8505415.90030376,52,Furdalsudden,O
2054105.51237052,8504309.50248236,52,Skrevbådan,O
2054305.765765,8502490.71355961,52,Stor-Mattingsören,O
2055135.20946179,8503873.88440273,52,Rönnören,O
2055754.6939682,8501107.42752582,52,Edsörarna,O
2056142.9707259,8504927.95732327,52,Hamningbådan,O
2055681.41831787,8504433.33137047,52,Alhällen,O
2055492.04405547,8505696.03783118,52,Stor-Kälkbådan,O
2055541.77465432,8501888.90778148,52,Söder-Högbådan,O
2056943.43770601,8502975.01163985,52,Vidbuskörarna,O
2057719.39836935,8504279.84010696,52,Malbådan,O
2057892.04792595,8501910.49241093,52,Ådkubben,O
2058503.07934362,8505979.80013269,52,Lill-Utteridet,O
2058532.37473503,8503220.45595209,52,Malbådkubbarna,O
2059364.64008498,8504614.0015361,52,Malbådhällorna,O
2058836.2246617,8500830.52912155,52,Glasgrundskubben,O
2067671.56908859,8496768.63445161,53,Bryggebådan,O
2074917.03845059,8496370.92667813,52,Trutarbådslangran,O
2066202.48155712,8497160.80935286,51,Själfisket,O
2060612.65070074,8497628.02628267,52,Klykbådan,O
2075055.02457256,8496993.03449502,52,Trutarbådan,O
2070732.03922978,8497116.88004096,52,Mjölnarkubbarna,O
2072401.17049095,8497677.70851308,52,Norrbådan,O
2060933.13828492,8498472.29758296,52,Svartbådan,O
2061028.29917931,8498932.07029763,52,Långbådan,O
2059483.86397379,8500193.59702524,52,Glasgrund,O
2063364.17538576,8500278.43208141,52,Trutkubbarna,O
2070673.06509866,8500078.61356158,51,Malbådorna,O
2067738.48487771,8500212.81199221,54,Klyndrorna,O
2060090.8233036,8501341.72091399,52,Stapelbåds-Halvfaru,O
2062942.82996712,8501707.73447433,52,Österbådan,O
2060894.6146748,8502228.74632794,52,Stapelbådan,O
2069585.19809673,8503547.01203199,52,Riskatgrynnan,O
2064662.1801336,8504437.48606868,52,Fluttu-Söderhäll,O
2070123.87993123,8504431.61768285,52,Rundklubben,O
2060948.12505304,8505159.37993879,51,Fluttu-Halvfaru,O
2067871.46831281,8505366.09027984,52,Skottbådarna,O
2063858.26213615,8505910.44533273,53,Fluttu,O
2061313.132115,8506609.05960388,51,Fluttukobben,O
2065544.32968945,8506461.41394749,54,Fluttuskären,O
2070564.83760467,8508079.61748974,52,Östergrynnan,O
2048577.89560075,8498449.75177788,3,Söderboda,O
2049810.98650048,8495224.42972896,1,Lilläng,O
2050583.09747926,8497460.52595774,1,Knösen,O
2051092.11786816,8498153.65771939,192,Söderbodfjärden,O
2051383.07477235,8498757.9958402,1,Möskäret,O
2051870.87287782,8498357.42154302,52,Krakskäret,O
2051705.04619613,8496855.57880293,1,Björkäng,O
2051620.22998656,8497249.69256396,1,Skaten,O
2053506.15685926,8498577.59955411,182,Norrfjärden,O
2053484.83200237,8496479.45553362,192,Getfjärden,O
2057379.57396791,8498119.29447766,52,Enskäret,O
2057265.75507399,8499050.0049653,52,Tallskäret,O
2057955.58637128,8495113.49302599,52,Fågelskärsören,O
2058279.77819378,8499502.83957586,53,Digelskäret,O
2058245.12253354,8497607.56121993,52,Långskäret,O
2057880.96736911,8498338.03743351,52,Gränskäret,O
2058934.28321046,8498485.11937186,52,Skräckesgrund,O
2059759.36849645,8495658.66388682,52,Stor-Blekbådan,O
2047008.81020408,8488620.10220575,52,Talludden,O
2049116.80276922,8488885.51408055,1,Baklä,O
2057732.36894756,8488771.21289793,52,Tullferudden,O
2046859.53977405,8489154.06149306,52,Hyrriln,O
2046667.19080658,8490137.10334479,1,Måsboda,O
2057769.21957524,8490199.8664933,52,Filbådan,O
2051320.55367211,8490897.25436457,57,Gräsö,O
2054900.62935128,8491085.88796525,1,Kovik,O
